Domain,MBFC factual,MBFC,PF,BF,FC,WI,Site Rank,Yr online,Name,Media Bias/Fact Check page,Wikipedia article,HTTP,URL,,iffy,ID,✓
consumerwellness.org,very-low,CP,,,,,4350479,,Consumer Wellness Center,https://mediabiasfactcheck.com/consumer-wellness-center/,,200,https://consumerwellness.org/,,1,4677,↗
corbettreport.com,low,CP,,,,,93466,,The Corbett Report,https://mediabiasfactcheck.com/the-corbett-report/,,200,https://www.corbettreport.com/,,1,235,↗
cosmicintelligenceagency.com,low,CP,,,,,237380,2005,Cosmic Intelligence Agency,https://mediabiasfactcheck.com/cosmic-intelligence-agency/,,200,https://cosmicintelligenceagency.com/,,1,1438,↗
counterpsyops.com,mixed,CP,,,,,8299903,2011,CounterPsyOps,https://mediabiasfactcheck.com/counterpsyops/,,200,https://counterpsyops.com/,,,241,↗
counterthink.com,very-low,CP,,,,,6181565,,CounterThink.com,https://mediabiasfactcheck.com/counterthink-com/,https://en.wikipedia.org/wiki/Natural_News,200,https://counterthink.com/,5,1,4678,↗
creation.com,low,CP,,,,,55961,1995,Christian Ministries International,https://mediabiasfactcheck.com/christian-ministries-international/,,200,https://creation.com/,,1,1431,↗
csglobe.com,low,CP,,,,,1263204,2013,CS Globe,https://mediabiasfactcheck.com/cs-globe/,,406,https://csglobe.com/,,1,1443,↗
curiousmindmagazine.com,low,CP,,,,,122023,2015,Curious Mind Magazine,https://mediabiasfactcheck.com/curious-mind-magazine/,,200,https://curiousmindmagazine.com/,25,1,1444,↗
daily-vine.com,,,,,1,,5097256,2018,Daily Vine,,,200,https://daily-vine.com/,,0,1970,↗
dailybuzzlive.com,very-low,QS,fake-news,,,1,1425259,2013,Daily Buzz Live,https://mediabiasfactcheck.com/daily-buzz-live/,https://en.wikipedia.org/wiki/The_Daily_Buzz,200,https://dailybuzzlive.com/,,1,252,↗
dailygrail.com,mixed,CP,,,,,724153,1999,Daily Grail,https://mediabiasfactcheck.com/daily-grail/,,200,https://www.dailygrail.com/,,,4862,↗
dailyheadlines.com,low,QS,,,,,3062968,,Daily Headlines,https://mediabiasfactcheck.com/daily-headlines/,,200,http://dailyheadlines.com/,,1,258,↗
dailyheadlines.net,low,QS,,,,,428808,2014,Daily Headlines,https://mediabiasfactcheck.com/daily-headlines/,,200,http://dailyheadlines.net/,,1,259,↗
dailyhealthpost.com,low,CP,,,,,142158,2012,DailyHealthPost,https://mediabiasfactcheck.com/dailyhealthpost/,,200,https://dailyhealthpost.com/,20,1,2322,↗
dailyinsidernews.com,low,QS,,,1,,20000000,2015,Daily Insider News,https://mediabiasfactcheck.com/daily-insider-news/,,200,http://dailyinsidernews.com/,,1,261,↗
dailyoccupation.com,low,CP,,,,,722179,2016,Daily Occupation,https://mediabiasfactcheck.com/daily-occupation/,,200,https://dailyoccupation.com/,,1,269,↗
dailypoliticalnewswire.com,mixed,QS,,,,,352105,2016,Daily Political Newswire,https://mediabiasfactcheck.com/daily-political-newswire/,,200,https://dailypoliticalnewswire.com/,22,,4863,↗
dailysurge.com,mixed,R,fake-news,,,,16209212,,Daily Surge,https://mediabiasfactcheck.com/daily-surge/,,200,https://dailysurge.com/,,,276,↗
dailyworldupdate.us,(satire),S,,1,,,932265,2018,Daily World Update,https://mediabiasfactcheck.com/daily-world-update/,,200,https://dailyworldupdate.us/,7.5,,2174,↗
darkjournalist.com,low,CP,,,,,764232,2011,Dark Journalist,https://mediabiasfactcheck.com/dark-journalist/,,200,https://darkjournalist.com/,,1,1446,↗
dataasylum.com,low,CP,,,,,2507356,2000,Data Asylum,https://mediabiasfactcheck.com/data-asylum/,,200,http://www.dataasylum.com/,,1,286,↗
davidharrisjr.com,low,QS,,,,,164309,2016,David Harris Jr,https://mediabiasfactcheck.com/davidharrisjr-com/,,200,https://davidharrisjr.com/,10,1,2467,↗
davidicke.com,very-low,CP,,,,,36009,1997,David Icke,https://mediabiasfactcheck.com/david-icke/,,200,https://www.davidicke.com/,7.5,1,1447,↗
davidwolfe.com,mixed,CP,,,,,78507,1999,David Wolfe,https://mediabiasfactcheck.com/david-wolfe/,https://en.wikipedia.org/wiki/David_Wolfe,200,https://www.davidwolfe.com/,,,290,↗
dcbluedot.com,mixed,QS,,,,,20000000,2018,DC Blue Dot,https://mediabiasfactcheck.com/dc-blue-dot/,,200,https://dcbluedot.com/,,,4864,↗
dcclothesline.com,low,QS,,,,,144327,2013,The DC Clothesline,https://mediabiasfactcheck.com/the-d-c-clothesline/,,200,https://www.dcclothesline.com/,7.5,1,291,↗
dcdirtylaundry.com,very-low,QS,,,,,78280,2018,DC Dirty Laundry,https://mediabiasfactcheck.com/dc-dirty-laundry/,,200,https://dcdirtylaundry.com/,12.5,1,2324,↗
dcgazette.com,low,QS,,,,1,3708726,2014,DC Gazette,https://mediabiasfactcheck.com/dc-gazette/,https://en.wikipedia.org/wiki/List_of_fake_news_websites,406,https://dcgazette.com/,,1,292,↗
debka.com,mixed,QS,,,,,35567,2000,DEBKAfile,https://mediabiasfactcheck.com/debkafile/,https://en.wikipedia.org/wiki/Debkafile,200,https://www.debka.com/,,,1650,↗
decaturtimes.com,mixed,QS,,,,,2310667,2019,Decatur Times,https://mediabiasfactcheck.com/decatur-times/,,200,https://decaturtimes.com/,32,,4937,↗
deepleftfield.info,mixed,QS,,,,,613479,2014,Deep Left Field,https://mediabiasfactcheck.com/deep-left-field/,,200,https://deepleftfield.info/,,,4865,↗
defendevropa.org,low,QS,,,,,20000000,2017,Defend Europa,https://mediabiasfactcheck.com/defend-europa/,,301,https://www.defendevropa.org//,,1,1651,↗
defiantamerica.com,low,QS,,,,,2691233,2016,Defiant America,https://mediabiasfactcheck.com/defiant-america/,,200,https://defiantamerica.com/,12.5,1,1652,↗
democraticunderground.com,mixed,L,fake-news,,,,19913,2000,Democratic Underground,https://mediabiasfactcheck.com/democratic-underground/,https://en.wikipedia.org/wiki/Democratic_Underground,200,https://democraticunderground.com/,,,301,↗
democrats.org,mixed,QS,,,,,20000000,,Democratic National Committee,https://mediabiasfactcheck.com/democratic-national-committee-dnc/,https://en.wikipedia.org/wiki/Democratic_National_Committee,200,https://democrats.org/,,,2662,↗
deplorablekel.com,low,QS,,,,,467402,2017,Deplorable Kel,https://mediabiasfactcheck.com/deplorable-kel/,,200,https://deplorablekel.com/,,1,2325,↗
digifection.com,low,QS,,,,,658363,2016,The Times of America,https://mediabiasfactcheck.com/the-times-of-america/,,200,http://www.digifection.com/,,1,1861,↗
disclose.tv,low,CP,fake-news,,,1,27647,2007,Disclose TV,https://mediabiasfactcheck.com/disclose-tv/,https://en.wikipedia.org/wiki/List_of_fake_news_websites,403,https://www.disclose.tv/,,1,312,↗
discoverthenetworks.org,low,QS,,,,,689724,2005,Discover the Networks,https://mediabiasfactcheck.com/discover-the-networks/,https://en.wikipedia.org/wiki/Discover_the_Networks,200,https://www.discoverthenetworks.org/,,1,1659,↗
discovery.org,low,CP,,,,,393423,1995,Discovery Institute,https://mediabiasfactcheck.com/discovery-institute/,https://en.wikipedia.org/wiki/Discovery_Institute,200,https://www.discovery.org/,,1,1448,↗
disobedientmedia.com,mixed,CP,,,,,20000000,2016,Disobedient Media,https://mediabiasfactcheck.com/disobedient-media/,,200,https://disobedientmedia.com/,,,4866,↗
djhjmedia.com,low,QS,,,,,37321,2019,BitChute,https://mediabiasfactcheck.com/djhj-media/,,200,https://djhjmedia.com/,27.5,1,4828,↗
dnyuz.com,mixed,QS,,,,,30995,2018,Dnyuz,https://mediabiasfactcheck.com/dnyuz/,,200,https://dnyuz.com/,,,4931,↗
doctoroz.com,mixed,CP,,,,,52098,2003,DoctorOz.com (Dr. Oz),https://mediabiasfactcheck.com/doctoroz-com/,https://en.wikipedia.org/wiki/Mehmet_Oz,200,https://www.doctoroz.com/,,,1450,↗
draxe.com,mixed,CP,,,,,12077,,Dr. Axe,https://mediabiasfactcheck.com/dr-axe/,,200,https://draxe.com/,40,,1449,↗
earthpulse.com,low,CP,,,,,3286750,1996,Earthpulse Press,https://mediabiasfactcheck.com/earthpulse-press/,,200,https://earthpulse.com/,,1,1451,↗
ecalabamanews.com,mixed,QS,,,,,20000000,2019,East Central Alabama News,https://mediabiasfactcheck.com/east-central-alabama-news/,,200,https://ecalabamanews.com/,32,,4938,↗
ecology.news,very-low,CP,,,,,4189190,2015,Ecology News,https://mediabiasfactcheck.com/ecology-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://ecology.news/,5,1,2326,↗
economictimes.indiatimes.com,mixed,QS,,,,,131,1996,The Economic Times,https://mediabiasfactcheck.com/the-economic-times/,https://en.wikipedia.org/wiki/The_Economic_Times,200,https://economictimes.indiatimes.com/,,,4888,↗
educate-yourself.org,very-low,CP,,,,,189941,1999,Educate Yourself,https://mediabiasfactcheck.com/educate-yourself/,,200,https://educate-yourself.org/,,1,337,↗
educateinspirechange.org,mixed,CP,,,,,294654,2013,Educate Inspire Change,https://mediabiasfactcheck.com/educate-inspire-change/,,406,https://educateinspirechange.org/,17.5,,338,↗
electroverse.net,low,CP,,,,,335147,2019,Electroverse,https://mediabiasfactcheck.com/electroverse/,,200,https://electroverse.net/,,1,4829,↗
eluxemagazine.com,mixed,CP,,,,,191922,2012,Eluxe Magazine,https://mediabiasfactcheck.com/eluxe-magazine/,,200,https://eluxemagazine.com/,,,1453,↗
emirates247.com,mixed,QS,,,,,128214,2010,Emirates 24/7,https://mediabiasfactcheck.com/emirates-247/,https://en.wikipedia.org/wiki/Emirates_24/7,200,https://www.emirates247.com/,,,4867,↗
empireherald.com,low,QS,imposter,1,,1,15343499,2016,Empire Herald,https://mediabiasfactcheck.com/empire-herald/,https://en.wikipedia.org/wiki/List_of_fake_news_websites,200,https://empireherald.com/,,1,347,↗
empirenews.net,(satire),S,parody,1,1,1,498926,2014,Empire News,https://mediabiasfactcheck.com/empire-news/,https://en.wikipedia.org/wiki/List_of_fake_news_websites,200,http://empirenews.net/,,,348,↗
empiresports.co,(satire),S,parody,1,,1,4026928,2014,Empire Sports News,https://mediabiasfactcheck.com/empire-sports-news/,https://en.wikipedia.org/wiki/List_of_fake_news_websites,200,https://empiresports.co/,,,349,↗
en-bref.fr,,,,1,,,7480299,2015,Fais une blague et piège tous tes amis.,,,200,http://www.en-bref.fr/,,0,2132,↗
en-volve.com,very-low,QS,fake-news,,1,,326775,2016,En-volve,https://mediabiasfactcheck.com/en-volve/,,200,https://en-volve.com/,7.5,1,351,↗
en.mediamass.net,,,,1,,,37098,2012,MediaMass,,,200,https://en.mediamass.net/,,0,353,↗
en.mehrnews.com,mixed,QS,,,,,820,2002,Mehr News Agency,https://mediabiasfactcheck.com/mehr-news-agency/,https://en.wikipedia.org/wiki/Mehr_News_Agency,200,https://en.mehrnews.com/,,,4878,↗
en.metapedia.org,low,QS,,,,,60690,,Metapedia,https://mediabiasfactcheck.com/metapedia/,https://en.wikipedia.org/wiki/Metapedia,503,https://en.metapedia.org/,,1,1726,↗
en.newsner.com,very-low,QS,,,,,60852,,Newsner,https://mediabiasfactcheck.com/newsner/,,200,https://en.newsner.com/,,1,2327,↗
endthefed.org,low,QS,,,,,1917909,2015,End the Fed,https://mediabiasfactcheck.com/end-the-fed/,,200,https://endthefed.org/,,1,2328,↗
eng.majalla.com,mixed,QS,,,,,278283,2009,The Majalla,https://mediabiasfactcheck.com/al-majalla/,https://en.wikipedia.org/wiki/The_Majalla,200,https://eng.majalla.com/,,,4855,↗
english.alarabiya.net,mixed,QS,,,,,2345,1999,Al Arabiya,https://mediabiasfactcheck.com/al-arabiya/,https://en.wikipedia.org/wiki/Al_Arabiya,200,https://english.alarabiya.net/,52,,4853,↗
english.cctv.com,mixed,QS,,,,,3048,1997,CCTV International,https://mediabiasfactcheck.com/cctv-america/,https://en.wikipedia.org/wiki/China_Central_Television,200,https://english.cctv.com/,,,4923,↗
escapeallthesethings.com,low,CP,,,,,1117542,2004,Escape all these Things,https://mediabiasfactcheck.com/escape-all-these-things/,,200,https://escapeallthesethings.com/,,1,1457,↗
eugenics.news,very-low,CP,,,,,4619005,,Eugenics.News,https://mediabiasfactcheck.com/eugenics-news/,,200,https://eugenics.news/,5,1,4946,↗
eutimes.net,mixed,CP,,,,,746635,2009,The European Union Times,https://mediabiasfactcheck.com/the-european-union-times/,,403,https://eutimes.net/,,,360,↗
everytown.org,mixed,QS,,,,,366221,,Everyday for Gun Safety,https://mediabiasfactcheck.com/everytown-for-gun-safety/,https://en.wikipedia.org/wiki/Everytown_for_Gun_Safety,200,https://everytown.org/,,,4900,↗
evil.news,low,QS,,,,,9016680,2015,Evil.News,https://mediabiasfactcheck.com/evil-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://evil.news/,5,1,2329,↗
evolutionnews.org,low,CP,,,,,147408,2004,Evolution News and Views,https://mediabiasfactcheck.com/evolution-news-and-views/,,200,https://evolutionnews.org/,,1,1459,↗
explainlife.com,very-low,QS,,,,,240818,2004,Explain Life,https://mediabiasfactcheck.com/explain-life/,,200,https://explainlife.com/,7.5,1,2330,↗
extraordinaryinfo.com,mixed,CP,,,,,20000000,2019,Extraordinary News,https://mediabiasfactcheck.com/extraordinary-news/,,200,http://extraordinaryinfo.com/,,,1460,↗
factcheckingturkey.com,mixed,QS,,,,,6994900,2015,Fact Checking Turkey,https://mediabiasfactcheck.com/fact-checking-turkey/,,200,https://factcheckingturkey.com/,,,1667,↗
factswanted.com,mixed,QS,,,,,9932405,2017,Facts Wanted,https://mediabiasfactcheck.com/facts-wanted/,,200,https://factswanted.com/,,,4868,↗
fairus.org,low,QS,,,,,149084,1995,The Federation for American Immigration Reform,https://mediabiasfactcheck.com/the-federation-for-american-immigration-reform-fair/,https://en.wikipedia.org/wiki/Federation_for_American_Immigration_Reform,200,https://www.fairus.org/,,1,1837,↗
faithpanda.com,mixed,CP,,,,,743721,2016,FaithPanda,https://mediabiasfactcheck.com/faithpanda/,,406,https://faithpanda.com/,,,1461,↗
familysurvivalheadlines.com,low,CP,,,,,4880857,2016,Family Survival Headlines,https://mediabiasfactcheck.com/family-survival-headlines/,,200,https://familysurvivalheadlines.com/,,1,1462,↗
fbnewscycle.com,,,,,1,,140098,2018,FNBC,,,200,http://fbnewscycle.com/,32.5,0,1971,↗
fellowshipoftheminds.com,low,CP,,,1,,109424,2013,Fellowship of the Minds,https://mediabiasfactcheck.com/fellowship-of-the-minds/,,200,https://fellowshipoftheminds.com/,,1,384,↗
femalista.com,mixed,QS,,,,,734753,2017,Femalista,https://mediabiasfactcheck.com/femalista/,,200,https://www.femalista.com/,52,,2535,↗
filmingcops.com,mixed,QS,,,,,1751997,2013,Filming Cops,https://mediabiasfactcheck.com/filming-cops/,,200,https://filmingcops.com/,,,4870,↗
focusonthefamily.com,low,QS,,,,,33829,1999,Focus on the Family,https://mediabiasfactcheck.com/focus-on-the-family/,https://en.wikipedia.org/wiki/Focus_on_the_Family,200,https://www.focusonthefamily.com/,57,1,1675,↗
food.news,very-low,CP,,,,,2704667,,Food.News,https://mediabiasfactcheck.com/food-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://food.news/,5,1,4679,↗
foodbabe.com,mixed,CP,,,,,150530,2007,Food Babe,https://mediabiasfactcheck.com/food-babe/,https://en.wikipedia.org/wiki/Vani_Hari,200,https://foodbabe.com/,,,395,↗
foodmatters.com,mixed,CP,,,,,105894,2001,Food Matters,https://mediabiasfactcheck.com/food-matters/,https://en.wikipedia.org/wiki/Food_Matters,200,https://www.foodmatters.com/,,,1463,↗
foreverconscious.com,low,CP,,,,,189774,2013,Forever Conscious,https://mediabiasfactcheck.com/forever-conscious/,,200,https://foreverconscious.com/,,1,2333,↗
forfreedomworld.com,,,fake-news,,,,2096243,2017,forfreedomworld,,https://en.wikipedia.org/wiki/Natural_News,200,http://forfreedomworld.com/,7.5,0,397,↗
fortherightnews.com,low,QS,,,,,4561531,2017,For the Right News,https://mediabiasfactcheck.com/for-the-right-news/,,200,https://www.fortherightnews.com/,,1,2334,↗
foxnews-us.com,,,,1,,,20000000,2018,FoxNews-Us,,,200,http://www.foxnews-us.com/,20,0,2179,↗
frc.org,low,QS,,,,,171433,1995,Family Research Council,https://mediabiasfactcheck.com/family-research-council/,https://en.wikipedia.org/wiki/Family_Research_Council,200,https://frc.org/,,1,1668,↗
freedom.news,very-low,CP,,,,,20000000,2015,Freedom.News,https://mediabiasfactcheck.com/freedom-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://freedom.news/,5,1,4680,↗
freedomadvocates.org,low,CP,,,,,5095191,,Freedom Advocates,https://mediabiasfactcheck.com/freedom-advocates-agenda-21/,,200,https://www.freedomadvocates.org/,,1,2335,↗
freedomainradio.com,mixed,CP,,,,,332816,2006,Freedomain Radio,https://mediabiasfactcheck.com/freedomain-radio/,https://en.wikipedia.org/wiki/Stefan_Molyneux,301,https://freedomainradio.com/,,,1464,↗
freedomdaily.com,mixed,R,fake-news,,,,8199533,2013,Freedom Daily,https://mediabiasfactcheck.com/first-freedom-daily/,,200,http://www.freedomdaily.com/,,,407,↗
freedomnewsreport.com,mixed,QS,,,,,687681,2017,Freedom News Report,https://mediabiasfactcheck.com/freedom-news-report/,,200,https://www.freedomnewsreport.com/,,,4871,↗
freeinfomedia.com,,,fake-news,,,,17756656,2017,FI Article Marketing,,,200,http://freeinfomedia.com/,,0,416,↗
freerepublic.com,mixed,R,some-fake,,,,21575,1996,Free Republic,https://mediabiasfactcheck.com/free-republic/,https://en.wikipedia.org/wiki/Free_Republic,200,https://freerepublic.com/tag/*/index,,,418,↗
freetelegraph.com,mixed,QS,,,,,14254667,2017,The Free Telegraph,https://mediabiasfactcheck.com/the-free-telegraph/,https://en.wikipedia.org/wiki/The_Free_Telegraph,200,https://freetelegraph.com/,39.5,,1839,↗
freewoodpost.com,(satire),S,parody,1,,,3000587,2011,Free Wood Post,https://mediabiasfactcheck.com/free-wood-post/,https://en.wikipedia.org/wiki/Free_Wood_Post,200,https://freewoodpost.com/,,,419,↗
friendsofscience.org,mixed,CP,,,,,1262721,2002,Friends of Science,https://mediabiasfactcheck.com/friends-of-science/,https://en.wikipedia.org/wiki/Friends_of_Science,406,https://friendsofscience.org/,,,1465,↗
fromthetrenchesworldreport.com,low,CP,,,,,361089,,From the Trenches World Report,https://mediabiasfactcheck.com/from-the-trenches-world-report/,,200,https://fromthetrenchesworldreport.com/,,1,422,↗
front.moveon.org,mixed,QS,,,,,43140,1998,MoveOn,https://mediabiasfactcheck.com/move-on/,https://en.wikipedia.org/wiki/MoveOn,200,https://front.moveon.org/,,,2527,↗
frontpagemag.com,low,QS,,,,,53181,1998,FrontPage Magazine,https://mediabiasfactcheck.com/frontpage-magazine/,https://en.wikipedia.org/wiki/FrontPage_Magazine,200,https://www.frontpagemag.com/,22.5,1,424,↗
fury.news,very-low,QS,,,,,7548165,,Fury News,https://mediabiasfactcheck.com/fury-news/,,200,https://www.fury.news/,,1,1683,↗
gadsdentoday.com,mixed,QS,,,,,20000000,2019,Gadsden Today,https://mediabiasfactcheck.com/gadsden-today/,,200,https://gadsdentoday.com/,32,,4939,↗
gaia.com,low,CP,,,,,18355,1992,Gaia,https://mediabiasfactcheck.com/gaia/,,0,https://www.gaia.com/,,1,428,↗
gatestoneinstitute.org,mixed,QS,,,,,50930,,Gatestone Institute,https://mediabiasfactcheck.com/gatestone-institute/,https://en.wikipedia.org/wiki/Gatestone_Institute,200,https://www.gatestoneinstitute.org/,,,4872,↗
gellerreport.com,low,QS,,,1,,83508,2016,Geller Report,https://mediabiasfactcheck.com/geller-report/,https://en.wikipedia.org/wiki/Pamela_Geller,200,https://gellerreport.com/,10,1,1972,↗
geoengineering.news,very-low,CP,,,,,20000000,,Geoengineering.News,https://mediabiasfactcheck.com/geoengineering-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://geoengineering.news/,5,1,4681,↗
geoengineeringwatch.org,low,CP,,,,,218564,,GeoEngineering Watch,https://mediabiasfactcheck.com/geoengineering-watch/,,200,https://www.geoengineeringwatch.org/,,1,432,↗
geopolitics.co,mixed,CP,,,,,165644,2015,Covert Geopolitics,https://mediabiasfactcheck.com/covert-geopolitics/,,200,https://geopolitics.co/,,,1441,↗
getholistichealth.com,low,CP,,,,,288994,2003,Get Holistic Health,https://mediabiasfactcheck.com/get-holistic-health/,,200,https://www.getholistichealth.com/,,1,2337,↗
ghost.report,mixed,QS,,,,,2229481,,Ghost.Report,https://mediabiasfactcheck.com/ghost-report/,,200,https://ghost.report/,,,1686,↗
glitch.news,very-low,CP,,,,,4703013,2015,Glitch.News,https://mediabiasfactcheck.com/glitch-news/,,200,https://glitch.news/,5,1,4830,↗
globalhealingcenter.com,mixed,CP,,,,,70844,1999,Global Healing Center,https://mediabiasfactcheck.com/global-healing-center/,https://en.wikipedia.org/wiki/InfoWars,301,https://www.globalhealingcenter.com/,,,1466,↗
globalinfotoday.com,low,QS,,,,,20000000,2016,Global Info Today,https://mediabiasfactcheck.com/global-info-today/,,200,http://globalinfotoday.com/,,1,1688,↗
globalresearch.ca,low,CP,,,,1,26012,2001,Global Research,https://mediabiasfactcheck.com/global-research/,https://en.wikipedia.org/wiki/Michel_Chossudovsky#Centre_for_Research_on_Globalization,200,https://www.globalresearch.ca/,17.5,1,439,↗
globalskywatch.com,low,CP,,,,,1422431,,Global Skywatch,https://mediabiasfactcheck.com/global-skywatch/,,200,http://globalskywatch.com/,,1,1467,↗
globaltimes.cn,mixed,QS,,,,,33176,2003,Global Times,https://mediabiasfactcheck.com/global-times-china/,https://en.wikipedia.org/wiki/Global_Times,200,https://www.globaltimes.cn/,39.5,,4873,↗
globemagazine.com,very-low,QS,,,,,2751943,1999,Globe Magazine,https://mediabiasfactcheck.com/globe-magazine/,,200,https://www.globemagazine.com/,,1,1690,↗
gmo.news,very-low,CP,,,,,20000000,,GMO.News,https://mediabiasfactcheck.com/gmo-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://gmo.news/,5,1,4682,↗
gmwatch.org,mixed,CP,,,,,282877,2002,GMWatch,https://mediabiasfactcheck.com/gmwatch/,,200,https://gmwatch.org/en/,,,4906,↗
gnews.org,low,QS,,,,,22665,,Gnews,https://mediabiasfactcheck.com/gnews/,,200,https://gnews.org/,7.5,1,2338,↗
godandscience.org,low,CP,,,,,549935,1999,Evidence for God from Science,https://mediabiasfactcheck.com/evidence-for-god-from-science/,,200,https://godandscience.org/,,1,2339,↗
godfatherpolitics.com,mixed,QS,,,,,258003,2011,Godfather Politics,https://mediabiasfactcheck.com/godfather-politics/,,200,https://godfatherpolitics.com/,42,,4874,↗
godlikeproductions.com,low,CP,,,,,12222,2000,Godlike Productions,https://mediabiasfactcheck.com/godlike-productions/,,200,https://www.godlikeproductions.com/,,1,442,↗
goodgopher.com,very-low,QS,,,,,413031,2014,GoodGopher,https://mediabiasfactcheck.com/goodgopher/,,200,https://goodgopher.com/,,1,1692,↗
goop.com,low,CP,,,,,13260,1996,Goop,https://mediabiasfactcheck.com/goop/,https://en.wikipedia.org/wiki/Goop_(company),200,https://goop.com/,10,1,2614,↗
gop.com,mixed,QS,,,,,20000000,1999,Republican National Committee,https://mediabiasfactcheck.com/gop-com/,https://en.wikipedia.org/wiki/Republican_National_Committee,403,https://gop.com/,,,2649,↗
gop.gov,mixed,QS,,,,,510971,,House Republican Conference,https://mediabiasfactcheck.com/gop-gov-house-republicans/,https://en.wikipedia.org/wiki/House_Republican_Conference,200,https://www.gop.gov/,,,4904,↗
gossipmillsa.com,,,,,,1,9091240,2019,Gossip Mill Mzansi,,https://en.wikipedia.org/wiki/List_of_fake_news_websites,200,https://www.gossipmillsa.com/,,0,1941,↗
gotquestions.org,low,CP,,,,,6153,2002,Got Questions,https://mediabiasfactcheck.com/got-questions-gotquestions-org/,,200,https://www.gotquestions.org/,,1,1468,↗
grainoftruth.ca,very-low,QS,,,,,1827170,2018,Grain of Truth,https://mediabiasfactcheck.com/grain-of-truth/,,200,https://grainoftruth.ca/,,1,2340,↗
greanvillepost.com,mixed,CP,,,,,499040,2009,The Greanville Post,https://mediabiasfactcheck.com/the-greanville-post-bias-rating/,,200,http://www.greanvillepost.com/,,,447,↗
greatamericandaily.com,low,QS,,,,,282103,2016,Great American Daily,https://mediabiasfactcheck.com/great-american-daily/,,200,https://greatamericandaily.com/,,1,2341,↗
greatamericanrepublic.com,low,QS,,,,,4166209,2016,Great American Republic,https://mediabiasfactcheck.com/great-american-republic-bias-credibility-fake-news/,,200,https://greatamericanrepublic.com/,34.5,1,2342,↗
greenmedinfo.com,low,CP,,,,,55143,,GreenMedInfo,https://mediabiasfactcheck.com/greenmedinfo/,,200,https://www.greenmedinfo.com/,17.5,1,448,↗
greenpeace.org,mixed,CP,,,,,20834,1992,Greenpeace,https://mediabiasfactcheck.com/greenpeace/,https://en.wikipedia.org/wiki/Greenpeace,200,https://www.greenpeace.org/usa/,,,1469,↗
grunge.com,mixed,QS,,,,,35477,1995,Grunge.com,https://mediabiasfactcheck.com/grunge/,https://en.wikipedia.org/wiki/ZergNet,200,https://www.grunge.com/,,,4922,↗
gucmakale.com,mixed,QS,,,,,983355,2018,Gucmakale,https://mediabiasfactcheck.com/gucmakale-com/,,200,https://www.gucmakale.com/,52,,2536,↗
gulagbound.com,low,CP,,,,,2485234,2010,Gulag Bound,https://mediabiasfactcheck.com/gulag-bound/,,200,http://gulagbound.com/,,1,454,↗
halturnerradioshow.com,,,,,,1,91611,,Hal Turner Radio Show,,https://en.wikipedia.org/wiki/List_of_fake_news_websites,200,http://halturnerradioshow.com/index.php/en/,,0,1942,↗
hangthebankers.com,low,QS,,,,,596098,2012,Hang The Bankers,https://mediabiasfactcheck.com/hang-the-bankers/,,200,https://hangthebankers.com/,,1,457,↗
hannity.com,low,QS,,,,,69187,1998,Sean Hannity,https://mediabiasfactcheck.com/hannity-com/,https://en.wikipedia.org/wiki/Sean_Hannity,200,https://hannity.com/,42,1,2459,↗
hardnews.network,mixed,QS,,,,,5309912,,Hard News,https://mediabiasfactcheck.com/hard-news/,,200,https://hardnews.network/,,,1695,↗
headlinebrief.com,,,,1,,,,2018,Headline Brief,,,200,http://headlinebrief.com/,,0,2076,↗
headtopics.com,mixed,QS,,,,,27008,2017,Head Topics,https://mediabiasfactcheck.com/head-topics/,,200,https://headtopics.com/us,,,4909,↗
healingfoodreference.com,very-low,CP,,,,,2981377,,Healing Food Reference,https://mediabiasfactcheck.com/healing-food-reference/,,200,https://healingfoodreference.com/,,1,4683,↗
healingoracle.ch,very-low,CP,,,,,1132882,,Healing Oracle,https://mediabiasfactcheck.com/healing-oracle/,,403,https://healingoracle.ch/,12.5,1,2344,↗
health.news,very-low,CP,,,,,957767,,Health.News,https://mediabiasfactcheck.com/health-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://health.news/,5,1,4684,↗
healthimpactnews.com,low,CP,,,,,184109,2011,Health Impact News,https://mediabiasfactcheck.com/health-impact-news/,,200,https://healthimpactnews.com/,25,1,459,↗
healthnutnews.com,very-low,CP,,,,,85465,2013,Health Nut News,https://mediabiasfactcheck.com/health-nut-news/,,200,https://www.healthnutnews.com/,12.5,1,460,↗
healthranger.com,very-low,CP,,,,,2517608,,The Health Ranger,https://mediabiasfactcheck.com/the-health-ranger/,,200,https://healthranger.com/,,1,4685,↗
healthrangerreport.com,very-low,CP,,,,,20000000,2015,Health Ranger Report,https://mediabiasfactcheck.com/health-ranger-report/,https://en.wikipedia.org/wiki/Natural_News,200,https://healthrangerreport.com/,5,1,4686,↗
healthy-holistic-living.com,low,CP,,,,,61516,2006,Healthy Holistic Living,https://mediabiasfactcheck.com/healthy-holistic-living/,,200,https://www.healthy-holistic-living.com/,10,1,461,↗
